# MvsR for poly none
#   Gamma = 2.000000e+00
#   K     = 1.000000e+02
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 2.236068e-04 1.134474e+01 4.691064e-01 4.786103e-01 1.181870e+01 1.314205e+06 2.286068e-04 1.211264e+01
 2.243804e-04 1.134107e+01 4.704544e-01 4.800153e-01 1.181640e+01 1.292999e+06 2.294151e-04 1.211124e+01
 2.251568e-04 1.133739e+01 4.718055e-01 4.814237e-01 1.181410e+01 1.272145e+06 2.302263e-04 1.210984e+01
 2.259358e-04 1.133370e+01 4.731595e-01 4.828355e-01 1.181180e+01 1.251637e+06 2.310405e-04 1.210845e+01
 2.267175e-04 1.133002e+01 4.745166e-01 4.842505e-01 1.180950e+01 1.231470e+06 2.318576e-04 1.210706e+01
 2.275019e-04 1.132642e+01 4.758767e-01 4.856690e-01 1.180730e+01 1.211723e+06 2.326776e-04 1.210578e+01
 2.282890e-04 1.132273e+01 4.772399e-01 4.870907e-01 1.180500e+01 1.192218e+06 2.335006e-04 1.210439e+01
 2.290789e-04 1.131903e+01 4.786060e-01 4.885158e-01 1.180270e+01 1.173037e+06 2.343266e-04 1.210301e+01
 2.298714e-04 1.131523e+01 4.799752e-01 4.899442e-01 1.180030e+01 1.154092e+06 2.351555e-04 1.210153e+01
 2.306668e-04 1.131153e+01 4.813474e-01 4.913760e-01 1.179800e+01 1.135542e+06 2.359875e-04 1.210015e+01
 2.314648e-04 1.130783e+01 4.827226e-01 4.928112e-01 1.179570e+01 1.117300e+06 2.368224e-04 1.209878e+01
 2.322657e-04 1.130412e+01 4.841009e-01 4.942497e-01 1.179340e+01 1.099360e+06 2.376604e-04 1.209741e+01
 2.330693e-04 1.130030e+01 4.854822e-01 4.956915e-01 1.179100e+01 1.081640e+06 2.385014e-04 1.209594e+01
 2.338756e-04 1.129659e+01 4.868665e-01 4.971367e-01 1.178870e+01 1.064289e+06 2.393454e-04 1.209457e+01
 2.346848e-04 1.129277e+01 4.882538e-01 4.985853e-01 1.178630e+01 1.047152e+06 2.401925e-04 1.209311e+01
 2.354968e-04 1.128905e+01 4.896442e-01 5.000373e-01 1.178400e+01 1.030372e+06 2.410427e-04 1.209175e+01
 2.363116e-04 1.128522e+01 4.910376e-01 5.014926e-01 1.178160e+01 1.013797e+06 2.418959e-04 1.209028e+01
 2.371292e-04 1.128139e+01 4.924340e-01 5.029512e-01 1.177920e+01 9.974976e+05 2.427522e-04 1.208883e+01
 2.379496e-04 1.127756e+01 4.938335e-01 5.044133e-01 1.177680e+01 9.814681e+05 2.436116e-04 1.208737e+01
 2.387729e-04 1.127383e+01 4.952360e-01 5.058787e-01 1.177450e+01 9.657726e+05 2.444741e-04 1.208602e+01
 2.395990e-04 1.126999e+01 4.966415e-01 5.073475e-01 1.177210e+01 9.502688e+05 2.453398e-04 1.208457e+01
 2.404280e-04 1.126615e+01 4.980501e-01 5.088197e-01 1.176970e+01 9.350217e+05 2.462085e-04 1.208312e+01
 2.412598e-04 1.126230e+01 4.994617e-01 5.102952e-01 1.176730e+01 9.200270e+05 2.470805e-04 1.208168e+01
 2.420945e-04 1.125835e+01 5.008764e-01 5.117742e-01 1.176480e+01 9.052163e+05 2.479555e-04 1.208013e+01
 2.429322e-04 1.125450e+01 5.022941e-01 5.132565e-01 1.176240e+01 8.907145e+05 2.488338e-04 1.207870e+01
 2.437727e-04 1.125065e+01 5.037148e-01 5.147422e-01 1.176000e+01 8.764525e+05 2.497152e-04 1.207726e+01
 2.446161e-04 1.124679e+01 5.051386e-01 5.162313e-01 1.175760e+01 8.624262e+05 2.505998e-04 1.207583e+01
 2.454624e-04 1.124283e+01 5.065654e-01 5.177238e-01 1.175510e+01 8.485715e+05 2.514876e-04 1.207429e+01
 2.463117e-04 1.123896e+01 5.079952e-01 5.192197e-01 1.175270e+01 8.350056e+05 2.523786e-04 1.207286e+01
 2.471639e-04 1.123500e+01 5.094281e-01 5.207190e-01 1.175020e+01 8.216054e+05 2.532729e-04 1.207134e+01
 2.480190e-04 1.123103e+01 5.108640e-01 5.222216e-01 1.174770e+01 8.084272e+05 2.541704e-04 1.206981e+01
 2.488771e-04 1.122715e+01 5.123030e-01 5.237277e-01 1.174530e+01 7.955235e+05 2.550711e-04 1.206839e+01
 2.497382e-04 1.122318e+01 5.137450e-01 5.252372e-01 1.174280e+01 7.827771e+05 2.559751e-04 1.206687e+01
 2.506023e-04 1.121920e+01 5.151900e-01 5.267500e-01 1.174030e+01 7.702416e+05 2.568824e-04 1.206535e+01
 2.514693e-04 1.121521e+01 5.166381e-01 5.282663e-01 1.173780e+01 7.579134e+05 2.577930e-04 1.206384e+01
 2.523394e-04 1.121123e+01 5.180892e-01 5.297860e-01 1.173530e+01 7.457890e+05 2.587069e-04 1.206232e+01
 2.532124e-04 1.120724e+01 5.195434e-01 5.313091e-01 1.173280e+01 7.338649e+05 2.596241e-04 1.206082e+01
 2.540885e-04 1.120324e+01 5.210006e-01 5.328356e-01 1.173030e+01 7.221377e+05 2.605446e-04 1.205931e+01
 2.549676e-04 1.119925e+01 5.224608e-01 5.343655e-01 1.172780e+01 7.106042e+05 2.614685e-04 1.205781e+01
 2.558498e-04 1.119525e+01 5.239241e-01 5.358988e-01 1.172530e+01 6.992610e+05 2.623957e-04 1.205631e+01
 2.567350e-04 1.119114e+01 5.253904e-01 5.374355e-01 1.172270e+01 6.880562e+05 2.633262e-04 1.205470e+01
 2.576232e-04 1.118714e+01 5.268598e-01 5.389757e-01 1.172020e+01 6.770849e+05 2.642602e-04 1.205321e+01
 2.585146e-04 1.118303e+01 5.283322e-01 5.405192e-01 1.171760e+01 6.662472e+05 2.651975e-04 1.205161e+01
 2.594090e-04 1.117902e+01 5.298076e-01 5.420662e-01 1.171510e+01 6.556352e+05 2.661383e-04 1.205012e+01
 2.603065e-04 1.117490e+01 5.312861e-01 5.436166e-01 1.171250e+01 6.451522e+05 2.670824e-04 1.204853e+01
 2.612071e-04 1.117088e+01 5.327676e-01 5.451704e-01 1.171000e+01 6.348875e+05 2.680300e-04 1.204705e+01
 2.621109e-04 1.116676e+01 5.342521e-01 5.467276e-01 1.170740e+01 6.247474e+05 2.689811e-04 1.204547e+01
 2.630177e-04 1.116263e+01 5.357397e-01 5.482883e-01 1.170480e+01 6.147748e+05 2.699355e-04 1.204388e+01
 2.639277e-04 1.115850e+01 5.372304e-01 5.498524e-01 1.170220e+01 6.049668e+05 2.708935e-04 1.204231e+01
 2.648409e-04 1.115437e+01 5.387240e-01 5.514199e-01 1.169960e+01 5.953206e+05 2.718549e-04 1.204073e+01
 2.657572e-04 1.115024e+01 5.402207e-01 5.529908e-01 1.169700e+01 5.858335e+05 2.728199e-04 1.203916e+01
 2.666767e-04 1.114610e+01 5.417205e-01 5.545651e-01 1.169440e+01 5.765027e+05 2.737883e-04 1.203759e+01
 2.675993e-04 1.114196e+01 5.432232e-01 5.561429e-01 1.169180e+01 5.673258e+05 2.747603e-04 1.203602e+01
 2.685252e-04 1.113781e+01 5.447290e-01 5.577241e-01 1.168920e+01 5.583000e+05 2.757357e-04 1.203446e+01
 2.694542e-04 1.113356e+01 5.462379e-01 5.593087e-01 1.168650e+01 5.493838e+05 2.767148e-04 1.203279e+01
 2.703865e-04 1.112941e+01 5.477497e-01 5.608968e-01 1.168390e+01 5.406533e+05 2.776974e-04 1.203123e+01
 2.713220e-04 1.112516e+01 5.492646e-01 5.624882e-01 1.168120e+01 5.320287e+05 2.786836e-04 1.202957e+01
 2.722607e-04 1.112100e+01 5.507825e-01 5.640832e-01 1.167860e+01 5.235835e+05 2.796733e-04 1.202802e+01
