# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_h4.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 3.075292e-04 8.879270e+00 2.118663e-01 2.138640e-01 9.092400e+00 8.727791e+06 3.128142e-04 9.257872e+00
 3.082604e-04 8.872237e+00 2.128864e-01 2.149088e-01 9.086400e+00 8.537282e+06 3.135699e-04 9.252400e+00
 3.089932e-04 8.865398e+00 2.139117e-01 2.159591e-01 9.080600e+00 8.350800e+06 3.143274e-04 9.247134e+00
 3.097278e-04 8.858554e+00 2.149423e-01 2.170149e-01 9.074800e+00 8.168527e+06 3.150868e-04 9.241868e+00
 3.104642e-04 8.851704e+00 2.159781e-01 2.180763e-01 9.069000e+00 7.990235e+06 3.158480e-04 9.236604e+00
 3.112023e-04 8.845050e+00 2.170192e-01 2.191432e-01 9.063400e+00 7.815835e+06 3.166112e-04 9.231546e+00
 3.119422e-04 8.838389e+00 2.180655e-01 2.202156e-01 9.057800e+00 7.645369e+06 3.173763e-04 9.226489e+00
 3.126838e-04 8.831824e+00 2.191172e-01 2.212937e-01 9.052300e+00 7.478746e+06 3.181432e-04 9.221535e+00
 3.134272e-04 8.825353e+00 2.201742e-01 2.223773e-01 9.046900e+00 7.315634e+06 3.189121e-04 9.216685e+00
 3.141723e-04 8.818876e+00 2.212366e-01 2.234666e-01 9.041500e+00 7.156200e+06 3.196829e-04 9.211836e+00
 3.149193e-04 8.812494e+00 2.223043e-01 2.245615e-01 9.036200e+00 7.000359e+06 3.204557e-04 9.207091e+00
 3.156680e-04 8.806206e+00 2.233773e-01 2.256621e-01 9.031000e+00 6.847912e+06 3.212303e-04 9.202450e+00
 3.164184e-04 8.799913e+00 2.244558e-01 2.267684e-01 9.025800e+00 6.698784e+06 3.220069e-04 9.197809e+00
 3.171707e-04 8.793714e+00 2.255397e-01 2.278803e-01 9.020700e+00 6.552903e+06 3.227854e-04 9.193273e+00
 3.179248e-04 8.787610e+00 2.266290e-01 2.289981e-01 9.015700e+00 6.410309e+06 3.235658e-04 9.188840e+00
 3.186806e-04 8.781600e+00 2.277237e-01 2.301215e-01 9.010800e+00 6.270707e+06 3.243482e-04 9.184511e+00
 3.194383e-04 8.775584e+00 2.288239e-01 2.312507e-01 9.005900e+00 6.134357e+06 3.251326e-04 9.180183e+00
 3.201977e-04 8.769663e+00 2.299296e-01 2.323857e-01 9.001100e+00 6.001078e+06 3.259189e-04 9.175959e+00
 3.209589e-04 8.763736e+00 2.310408e-01 2.335266e-01 8.996300e+00 5.870484e+06 3.267071e-04 9.171737e+00
 3.217220e-04 8.758004e+00 2.321575e-01 2.346732e-01 8.991700e+00 5.742934e+06 3.274974e-04 9.167721e+00
 3.224869e-04 8.752166e+00 2.332798e-01 2.358257e-01 8.987000e+00 5.618154e+06 3.282896e-04 9.163603e+00
 3.232536e-04 8.746522e+00 2.344076e-01 2.369841e-01 8.982500e+00 5.496082e+06 3.290838e-04 9.159692e+00
 3.240221e-04 8.740872e+00 2.355410e-01 2.381484e-01 8.978000e+00 5.376855e+06 3.298799e-04 9.155783e+00
 3.247924e-04 8.735317e+00 2.366799e-01 2.393186e-01 8.973600e+00 5.260021e+06 3.306781e-04 9.151977e+00
 3.255646e-04 8.729756e+00 2.378245e-01 2.404947e-01 8.969200e+00 5.145816e+06 3.314782e-04 9.148173e+00
 3.263386e-04 8.724289e+00 2.389747e-01 2.416768e-01 8.964900e+00 5.034180e+06 3.322804e-04 9.144473e+00
 3.271145e-04 8.718916e+00 2.401306e-01 2.428648e-01 8.960700e+00 4.925054e+06 3.330845e-04 9.140878e+00
 3.278922e-04 8.713537e+00 2.412921e-01 2.440589e-01 8.956500e+00 4.818112e+06 3.338907e-04 9.137283e+00
 3.286717e-04 8.708253e+00 2.424593e-01 2.452590e-01 8.952400e+00 4.713664e+06 3.346989e-04 9.133793e+00
 3.294531e-04 8.703063e+00 2.436322e-01 2.464651e-01 8.948400e+00 4.611476e+06 3.355091e-04 9.130407e+00
 3.302363e-04 8.697867e+00 2.448108e-01 2.476773e-01 8.944400e+00 4.511672e+06 3.363213e-04 9.127022e+00
 3.310215e-04 8.692765e+00 2.459951e-01 2.488956e-01 8.940500e+00 4.413857e+06 3.371356e-04 9.123742e+00
 3.318084e-04 8.687656e+00 2.471852e-01 2.501200e-01 8.936600e+00 4.318241e+06 3.379519e-04 9.120463e+00
 3.325973e-04 8.682643e+00 2.483811e-01 2.513505e-01 8.932800e+00 4.224773e+06 3.387702e-04 9.117289e+00
 3.333880e-04 8.677623e+00 2.495828e-01 2.525872e-01 8.929000e+00 4.133245e+06 3.395906e-04 9.114116e+00
 3.341806e-04 8.672697e+00 2.507903e-01 2.538300e-01 8.925300e+00 4.043853e+06 3.404130e-04 9.111047e+00
 3.349751e-04 8.667865e+00 2.520036e-01 2.550791e-01 8.921700e+00 3.956391e+06 3.412375e-04 9.108083e+00
 3.357715e-04 8.663027e+00 2.532228e-01 2.563343e-01 8.918100e+00 3.870816e+06 3.420641e-04 9.105121e+00
 3.365698e-04 8.658283e+00 2.544478e-01 2.575958e-01 8.914600e+00 3.787089e+06 3.428927e-04 9.102263e+00
 3.373700e-04 8.653633e+00 2.556787e-01 2.588636e-01 8.911200e+00 3.705168e+06 3.437234e-04 9.099509e+00
 3.381720e-04 8.648877e+00 2.569156e-01 2.601376e-01 8.907700e+00 3.625159e+06 3.445562e-04 9.096654e+00
 3.389760e-04 8.644314e+00 2.581583e-01 2.614180e-01 8.904400e+00 3.546804e+06 3.453911e-04 9.094007e+00
 3.397819e-04 8.639746e+00 2.594070e-01 2.627047e-01 8.901100e+00 3.470207e+06 3.462281e-04 9.091362e+00
 3.405897e-04 8.635171e+00 2.606617e-01 2.639977e-01 8.897800e+00 3.395192e+06 3.470672e-04 9.088718e+00
 3.413995e-04 8.630791e+00 2.619223e-01 2.652971e-01 8.894700e+00 3.321929e+06 3.479084e-04 9.086281e+00
 3.422111e-04 8.626304e+00 2.631889e-01 2.666029e-01 8.891500e+00 3.250243e+06 3.487517e-04 9.083744e+00
 3.430247e-04 8.621910e+00 2.644616e-01 2.679151e-01 8.888400e+00 3.180099e+06 3.495971e-04 9.081311e+00
 3.438402e-04 8.617611e+00 2.657403e-01 2.692337e-01 8.885400e+00 3.111465e+06 3.504446e-04 9.078983e+00
 3.446577e-04 8.613305e+00 2.670250e-01 2.705589e-01 8.882400e+00 3.044308e+06 3.512943e-04 9.076657e+00
 3.454771e-04 8.609094e+00 2.683158e-01 2.718905e-01 8.879500e+00 2.978720e+06 3.521461e-04 9.074435e+00
 3.462984e-04 8.604875e+00 2.696127e-01 2.732286e-01 8.876600e+00 2.914480e+06 3.530000e-04 9.072216e+00
 3.471217e-04 8.600751e+00 2.709158e-01 2.745732e-01 8.873800e+00 2.851681e+06 3.538561e-04 9.070101e+00
 3.479470e-04 8.596620e+00 2.722249e-01 2.759244e-01 8.871000e+00 2.790290e+06 3.547143e-04 9.067988e+00
 3.487742e-04 8.592583e+00 2.735402e-01 2.772822e-01 8.868300e+00 2.730100e+06 3.555747e-04 9.065980e+00
 3.496034e-04 8.588539e+00 2.748617e-01 2.786465e-01 8.865600e+00 2.671318e+06 3.564373e-04 9.063974e+00
 3.504346e-04 8.584589e+00 2.761894e-01 2.800175e-01 8.863000e+00 2.613797e+06 3.573020e-04 9.062073e+00
 3.512677e-04 8.580633e+00 2.775232e-01 2.813951e-01 8.860400e+00 2.557621e+06 3.581689e-04 9.060174e+00
 3.521028e-04 8.576770e+00 2.788633e-01 2.827794e-01 8.857900e+00 2.502541e+06 3.590380e-04 9.058380e+00
 3.529399e-04 8.572901e+00 2.802097e-01 2.841704e-01 8.855400e+00 2.448695e+06 3.599093e-04 9.056588e+00
 3.537790e-04 8.569125e+00 2.815623e-01 2.855681e-01 8.853000e+00 2.396055e+06 3.607827e-04 9.054901e+00
 3.546201e-04 8.565343e+00 2.829212e-01 2.869726e-01 8.850600e+00 2.344492e+06 3.616584e-04 9.053216e+00
 3.554632e-04 8.561654e+00 2.842864e-01 2.883838e-01 8.848300e+00 2.294135e+06 3.625363e-04 9.051637e+00
 3.563083e-04 8.557958e+00 2.856579e-01 2.898017e-01 8.846000e+00 2.244806e+06 3.634164e-04 9.050059e+00
 3.571554e-04 8.554256e+00 2.870357e-01 2.912265e-01 8.843700e+00 2.196583e+06 3.642987e-04 9.048483e+00
 3.580045e-04 8.550648e+00 2.884200e-01 2.926581e-01 8.841500e+00 2.149439e+06 3.651832e-04 9.047013e+00
 3.588556e-04 8.547133e+00 2.898106e-01 2.940966e-01 8.839400e+00 2.103256e+06 3.660700e-04 9.045648e+00
 3.597088e-04 8.543611e+00 2.912076e-01 2.955419e-01 8.837300e+00 2.058154e+06 3.669590e-04 9.044285e+00
 3.605640e-04 8.540083e+00 2.926110e-01 2.969942e-01 8.835200e+00 2.013924e+06 3.678502e-04 9.042924e+00
 3.614212e-04 8.536647e+00 2.940208e-01 2.984533e-01 8.833200e+00 1.970685e+06 3.687437e-04 9.041669e+00
 3.622804e-04 8.533206e+00 2.954371e-01 2.999194e-01 8.831200e+00 1.928458e+06 3.696394e-04 9.040416e+00
 3.631417e-04 8.529857e+00 2.968599e-01 3.013925e-01 8.829300e+00 1.887089e+06 3.705374e-04 9.039268e+00
 3.640051e-04 8.526502e+00 2.982892e-01 3.028726e-01 8.827400e+00 1.846646e+06 3.714377e-04 9.038123e+00
 3.648705e-04 8.523140e+00 2.997250e-01 3.043597e-01 8.825500e+00 1.807066e+06 3.723403e-04 9.036979e+00
 3.657379e-04 8.519871e+00 3.011673e-01 3.058538e-01 8.823700e+00 1.768330e+06 3.732451e-04 9.035942e+00
 3.666075e-04 8.516696e+00 3.026162e-01 3.073550e-01 8.822000e+00 1.730461e+06 3.741522e-04 9.035010e+00
 3.674790e-04 8.513513e+00 3.040717e-01 3.088632e-01 8.820300e+00 1.693360e+06 3.750616e-04 9.034080e+00
 3.683527e-04 8.510324e+00 3.055337e-01 3.103786e-01 8.818600e+00 1.657128e+06 3.759733e-04 9.033153e+00
 3.692284e-04 8.507128e+00 3.070024e-01 3.119011e-01 8.816900e+00 1.621629e+06 3.768874e-04 9.032228e+00
 3.701063e-04 8.504025e+00 3.084776e-01 3.134308e-01 8.815300e+00 1.586962e+06 3.778037e-04 9.031408e+00
 3.709862e-04 8.501015e+00 3.099596e-01 3.149677e-01 8.813800e+00 1.552996e+06 3.787223e-04 9.030695e+00
 3.718682e-04 8.497998e+00 3.114482e-01 3.165117e-01 8.812300e+00 1.519790e+06 3.796433e-04 9.029984e+00
 3.727522e-04 8.494974e+00 3.129434e-01 3.180630e-01 8.810800e+00 1.487290e+06 3.805666e-04 9.029275e+00
 3.736384e-04 8.492044e+00 3.144454e-01 3.196215e-01 8.809400e+00 1.455481e+06 3.814923e-04 9.028672e+00
 3.745267e-04 8.489106e+00 3.159541e-01 3.211873e-01 8.808000e+00 1.424384e+06 3.824203e-04 9.028071e+00
 3.754172e-04 8.486161e+00 3.174696e-01 3.227605e-01 8.806600e+00 1.393981e+06 3.833506e-04 9.027473e+00
 3.763097e-04 8.483309e+00 3.189918e-01 3.243409e-01 8.805300e+00 1.364157e+06 3.842833e-04 9.026981e+00
 3.772043e-04 8.480451e+00 3.205208e-01 3.259287e-01 8.804000e+00 1.335066e+06 3.852184e-04 9.026492e+00
 3.781011e-04 8.477685e+00 3.220566e-01 3.275238e-01 8.802800e+00 1.306528e+06 3.861558e-04 9.026109e+00
 3.790000e-04 8.474812e+00 3.235993e-01 3.291264e-01 8.801500e+00 1.278659e+06 3.870956e-04 9.025624e+00
 3.799011e-04 8.472132e+00 3.251487e-01 3.307363e-01 8.800400e+00 1.251382e+06 3.880378e-04 9.025349e+00
 3.808043e-04 8.469344e+00 3.267050e-01 3.323537e-01 8.799200e+00 1.224683e+06 3.889824e-04 9.024973e+00
 3.817096e-04 8.466650e+00 3.282682e-01 3.339786e-01 8.798100e+00 1.198551e+06 3.899294e-04 9.024703e+00
 3.826171e-04 8.464048e+00 3.298383e-01 3.356110e-01 8.797100e+00 1.173031e+06 3.908788e-04 9.024540e+00
 3.835267e-04 8.461439e+00 3.314153e-01 3.372509e-01 8.796100e+00 1.147994e+06 3.918306e-04 9.024380e+00
 3.844386e-04 8.458823e+00 3.329993e-01 3.388983e-01 8.795100e+00 1.123517e+06 3.927848e-04 9.024221e+00
 3.853525e-04 8.456200e+00 3.345902e-01 3.405533e-01 8.794100e+00 1.099614e+06 3.937415e-04 9.024066e+00
 3.862687e-04 8.453670e+00 3.361881e-01 3.422158e-01 8.793200e+00 1.076189e+06 3.947006e-04 9.024017e+00
 3.871870e-04 8.451132e+00 3.377929e-01 3.438860e-01 8.792300e+00 1.053287e+06 3.956621e-04 9.023970e+00
 3.881075e-04 8.448687e+00 3.394048e-01 3.455638e-01 8.791500e+00 1.030870e+06 3.966261e-04 9.024031e+00
 3.890302e-04 8.446134e+00 3.410237e-01 3.472493e-01 8.790600e+00 1.008926e+06 3.975925e-04 9.023989e+00
 3.899551e-04 8.443774e+00 3.426497e-01 3.489425e-01 8.789900e+00 9.874471e+05 3.985614e-04 9.024159e+00
 3.908822e-04 8.441307e+00 3.442827e-01 3.506433e-01 8.789100e+00 9.664471e+05 3.995328e-04 9.024227e+00
 3.918115e-04 8.438932e+00 3.459228e-01 3.523519e-01 8.788400e+00 9.459154e+05 4.005066e-04 9.024402e+00
 3.927430e-04 8.436550e+00 3.475700e-01 3.540683e-01 8.787700e+00 9.257930e+05 4.014829e-04 9.024580e+00
 3.936767e-04 8.434261e+00 3.492243e-01 3.557924e-01 8.787100e+00 9.061195e+05 4.024617e-04 9.024864e+00
 3.946127e-04 8.431964e+00 3.508858e-01 3.575243e-01 8.786500e+00 8.868846e+05 4.034430e-04 9.025152e+00
 3.955509e-04 8.429659e+00 3.525544e-01 3.592641e-01 8.785900e+00 8.680097e+05 4.044268e-04 9.025442e+00
 3.964912e-04 8.427347e+00 3.542302e-01 3.610117e-01 8.785300e+00 8.495783e+05 4.054131e-04 9.025735e+00
 3.974339e-04 8.425128e+00 3.559132e-01 3.627672e-01 8.784800e+00 8.315797e+05 4.064019e-04 9.026135e+00
 3.983788e-04 8.422901e+00 3.576035e-01 3.645306e-01 8.784300e+00 8.139168e+05 4.073933e-04 9.026537e+00
 3.993259e-04 8.420666e+00 3.593009e-01 3.663019e-01 8.783800e+00 7.966475e+05 4.083871e-04 9.026943e+00
 4.002752e-04 8.418524e+00 3.610056e-01 3.680812e-01 8.783400e+00 7.797629e+05 4.093836e-04 9.027456e+00
 4.012269e-04 8.416374e+00 3.627176e-01 3.698684e-01 8.783000e+00 7.632133e+05 4.103825e-04 9.027971e+00
 4.021808e-04 8.414317e+00 3.644369e-01 3.716636e-01 8.782700e+00 7.470324e+05 4.113840e-04 9.028594e+00
 4.031369e-04 8.412152e+00 3.661635e-01 3.734669e-01 8.782300e+00 7.312118e+05 4.123881e-04 9.029116e+00
 4.040954e-04 8.410079e+00 3.678974e-01 3.752782e-01 8.782000e+00 7.157239e+05 4.133948e-04 9.029745e+00
 4.050561e-04 8.407999e+00 3.696387e-01 3.770975e-01 8.781700e+00 7.005617e+05 4.144040e-04 9.030376e+00
 4.060191e-04 8.406011e+00 3.713873e-01 3.789250e-01 8.781500e+00 6.857182e+05 4.154158e-04 9.031116e+00
 4.069844e-04 8.404015e+00 3.731433e-01 3.807605e-01 8.781300e+00 6.712052e+05 4.164302e-04 9.031858e+00
 4.079519e-04 8.402011e+00 3.749067e-01 3.826042e-01 8.781100e+00 6.570151e+05 4.174472e-04 9.032603e+00
 4.089218e-04 8.400000e+00 3.766775e-01 3.844561e-01 8.780900e+00 6.431051e+05 4.184667e-04 9.033351e+00
 4.098940e-04 8.398081e+00 3.784557e-01 3.863162e-01 8.780800e+00 6.295047e+05 4.194889e-04 9.034207e+00
 4.108685e-04 8.396154e+00 3.802414e-01 3.881844e-01 8.780700e+00 6.162067e+05 4.205138e-04 9.035066e+00
 4.118453e-04 8.394219e+00 3.820346e-01 3.900610e-01 8.780600e+00 6.031875e+05 4.215412e-04 9.035928e+00
 4.128244e-04 8.392276e+00 3.838353e-01 3.919457e-01 8.780500e+00 5.904412e+05 4.225713e-04 9.036793e+00
 4.138059e-04 8.390425e+00 3.856434e-01 3.938388e-01 8.780500e+00 5.779621e+05 4.236040e-04 9.037766e+00
 4.147897e-04 8.388567e+00 3.874591e-01 3.957401e-01 8.780500e+00 5.657446e+05 4.246394e-04 9.038742e+00
 4.157758e-04 8.386700e+00 3.892824e-01 3.976498e-01 8.780500e+00 5.537988e+05 4.256775e-04 9.039721e+00
 4.167643e-04 8.384926e+00 3.911132e-01 3.995679e-01 8.780600e+00 5.421185e+05 4.267182e-04 9.040808e+00
 4.177552e-04 8.383144e+00 3.929516e-01 4.014943e-01 8.780700e+00 5.306675e+05 4.277615e-04 9.041899e+00
 4.187483e-04 8.381353e+00 3.947975e-01 4.034291e-01 8.780800e+00 5.194859e+05 4.288076e-04 9.042992e+00
 4.197439e-04 8.379555e+00 3.966511e-01 4.053724e-01 8.780900e+00 5.085234e+05 4.298563e-04 9.044089e+00
 4.207418e-04 8.377749e+00 3.985123e-01 4.073241e-01 8.781000e+00 4.978045e+05 4.309078e-04 9.045189e+00
 4.217421e-04 8.376034e+00 4.003812e-01 4.092843e-01 8.781200e+00 4.873096e+05 4.319619e-04 9.046397e+00
