# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_alf2.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 4.179167e-04 8.487318e+00 1.186668e-01 1.190854e-01 8.606400e+00 4.979795e+07 4.247577e-04 8.725236e+00
 4.186266e-04 8.466761e+00 1.192198e-01 1.196462e-01 8.586400e+00 4.851207e+07 4.254877e-04 8.705490e+00
 4.193377e-04 8.446498e+00 1.197779e-01 1.202123e-01 8.566700e+00 4.725947e+07 4.262191e-04 8.686048e+00
 4.200500e-04 8.426329e+00 1.203411e-01 1.207836e-01 8.547100e+00 4.603930e+07 4.269517e-04 8.666707e+00
 4.207635e-04 8.406356e+00 1.209094e-01 1.213601e-01 8.527700e+00 4.485072e+07 4.276857e-04 8.647569e+00
 4.214783e-04 8.386677e+00 1.214830e-01 1.219420e-01 8.508600e+00 4.369348e+07 4.284210e-04 8.628735e+00
 4.221942e-04 8.367093e+00 1.220617e-01 1.225292e-01 8.489600e+00 4.256596e+07 4.291575e-04 8.610002e+00
 4.229114e-04 8.347704e+00 1.226456e-01 1.231218e-01 8.470800e+00 4.146821e+07 4.298954e-04 8.591472e+00
 4.236298e-04 8.328609e+00 1.232347e-01 1.237197e-01 8.452300e+00 4.039865e+07 4.306346e-04 8.573246e+00
 4.243494e-04 8.309610e+00 1.238291e-01 1.243229e-01 8.433900e+00 3.935710e+07 4.313751e-04 8.555121e+00
 4.250702e-04 8.290904e+00 1.244287e-01 1.249316e-01 8.415800e+00 3.834284e+07 4.321170e-04 8.537301e+00
 4.257923e-04 8.272294e+00 1.250336e-01 1.255457e-01 8.397800e+00 3.735462e+07 4.328601e-04 8.519582e+00
 4.265156e-04 8.253878e+00 1.256438e-01 1.261652e-01 8.380000e+00 3.639257e+07 4.336046e-04 8.502066e+00
 4.272401e-04 8.235757e+00 1.262593e-01 1.267902e-01 8.362500e+00 3.545522e+07 4.343504e-04 8.484854e+00
 4.279658e-04 8.217730e+00 1.268801e-01 1.274207e-01 8.345100e+00 3.454246e+07 4.350976e-04 8.467743e+00
 4.286928e-04 8.199898e+00 1.275063e-01 1.280567e-01 8.327900e+00 3.365363e+07 4.358460e-04 8.450836e+00
 4.294210e-04 8.182260e+00 1.281378e-01 1.286982e-01 8.310900e+00 3.278738e+07 4.365959e-04 8.434131e+00
 4.301505e-04 8.164817e+00 1.287748e-01 1.293452e-01 8.294100e+00 3.194459e+07 4.373470e-04 8.417629e+00
 4.308812e-04 8.147569e+00 1.294171e-01 1.299978e-01 8.277500e+00 3.112318e+07 4.380995e-04 8.401330e+00
 4.316131e-04 8.130515e+00 1.300649e-01 1.306560e-01 8.261100e+00 3.032309e+07 4.388534e-04 8.385234e+00
 4.323463e-04 8.113655e+00 1.307181e-01 1.313199e-01 8.244900e+00 2.954399e+07 4.396085e-04 8.369342e+00
