# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_eng.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 4.231008e-04 8.509692e+00 1.193893e-01 1.198148e-01 8.629500e+00 4.945283e+07 4.301179e-04 8.748866e+00
 4.239333e-04 8.489964e+00 1.199129e-01 1.203458e-01 8.610300e+00 4.823523e+07 4.309741e-04 8.729912e+00
 4.247675e-04 8.470431e+00 1.204408e-01 1.208813e-01 8.591300e+00 4.704826e+07 4.318321e-04 8.711160e+00
 4.256033e-04 8.451094e+00 1.209732e-01 1.214214e-01 8.572500e+00 4.589063e+07 4.326918e-04 8.692611e+00
 4.264408e-04 8.431852e+00 1.215101e-01 1.219660e-01 8.553800e+00 4.476162e+07 4.335533e-04 8.674163e+00
 4.272799e-04 8.412906e+00 1.220514e-01 1.225153e-01 8.535400e+00 4.366106e+07 4.344166e-04 8.656019e+00
 4.281207e-04 8.394055e+00 1.225972e-01 1.230691e-01 8.517100e+00 4.258746e+07 4.352816e-04 8.637976e+00
 4.289631e-04 8.375400e+00 1.231475e-01 1.236275e-01 8.499000e+00 4.154068e+07 4.361484e-04 8.620136e+00
 4.298071e-04 8.356840e+00 1.237023e-01 1.241906e-01 8.481000e+00 4.052005e+07 4.370170e-04 8.602397e+00
 4.306529e-04 8.338575e+00 1.242616e-01 1.247583e-01 8.463300e+00 3.952467e+07 4.378873e-04 8.584963e+00
 4.315003e-04 8.320406e+00 1.248255e-01 1.253306e-01 8.445700e+00 3.855392e+07 4.387595e-04 8.567630e+00
 4.323494e-04 8.302433e+00 1.253939e-01 1.259077e-01 8.428300e+00 3.760719e+07 4.396334e-04 8.550499e+00
 4.332001e-04 8.284654e+00 1.259668e-01 1.264894e-01 8.411100e+00 3.668413e+07 4.405091e-04 8.533572e+00
 4.340525e-04 8.266971e+00 1.265444e-01 1.270758e-01 8.394000e+00 3.578441e+07 4.413867e-04 8.516745e+00
 4.349066e-04 8.249484e+00 1.271265e-01 1.276670e-01 8.377100e+00 3.490670e+07 4.422660e-04 8.500122e+00
 4.357624e-04 8.232191e+00 1.277132e-01 1.282629e-01 8.360400e+00 3.405095e+07 4.431471e-04 8.483701e+00
 4.366198e-04 8.215094e+00 1.283046e-01 1.288635e-01 8.343900e+00 3.321637e+07 4.440301e-04 8.467484e+00
 4.374790e-04 8.198193e+00 1.289006e-01 1.294689e-01 8.327600e+00 3.240242e+07 4.449148e-04 8.451469e+00
 4.383398e-04 8.181386e+00 1.295012e-01 1.300791e-01 8.311400e+00 3.160885e+07 4.458014e-04 8.435556e+00
 4.392023e-04 8.164675e+00 1.301065e-01 1.306941e-01 8.295300e+00 3.083513e+07 4.466898e-04 8.419744e+00
 4.400666e-04 8.148259e+00 1.307165e-01 1.313140e-01 8.279500e+00 3.008030e+07 4.475800e-04 8.404237e+00
 4.409325e-04 8.131939e+00 1.313311e-01 1.319386e-01 8.263800e+00 2.934459e+07 4.484720e-04 8.388831e+00
 4.418001e-04 8.115813e+00 1.319505e-01 1.325681e-01 8.248300e+00 2.862706e+07 4.493659e-04 8.373629e+00
 4.426695e-04 8.099783e+00 1.325746e-01 1.332025e-01 8.232900e+00 2.792725e+07 4.502616e-04 8.358528e+00
 4.435405e-04 8.083948e+00 1.332034e-01 1.338417e-01 8.217700e+00 2.724473e+07 4.511592e-04 8.343630e+00
 4.444133e-04 8.068308e+00 1.338370e-01 1.344859e-01 8.202700e+00 2.657951e+07 4.520586e-04 8.328935e+00
 4.452877e-04 8.052763e+00 1.344753e-01 1.351350e-01 8.187800e+00 2.593048e+07 4.529598e-04 8.314342e+00
 4.461639e-04 8.037414e+00 1.351184e-01 1.357890e-01 8.173100e+00 2.529769e+07 4.538630e-04 8.299951e+00
 4.470419e-04 8.022259e+00 1.357664e-01 1.364479e-01 8.158600e+00 2.468073e+07 4.547679e-04 8.285765e+00
 4.479215e-04 8.007200e+00 1.364191e-01 1.371119e-01 8.144200e+00 2.407855e+07 4.556748e-04 8.271679e+00
 4.488029e-04 7.992236e+00 1.370767e-01 1.377808e-01 8.129900e+00 2.349164e+07 4.565835e-04 8.257696e+00
 4.496860e-04 7.977566e+00 1.377391e-01 1.384547e-01 8.115900e+00 2.291961e+07 4.574940e-04 8.244017e+00
 4.505709e-04 7.962892e+00 1.384063e-01 1.391337e-01 8.101900e+00 2.236126e+07 4.584065e-04 8.230339e+00
 4.514575e-04 7.948513e+00 1.390785e-01 1.398177e-01 8.088200e+00 2.181686e+07 4.593208e-04 8.216965e+00
 4.523458e-04 7.934129e+00 1.397555e-01 1.405067e-01 8.074500e+00 2.128607e+07 4.602370e-04 8.203592e+00
 4.532359e-04 7.920040e+00 1.404375e-01 1.412008e-01 8.061100e+00 2.076814e+07 4.611551e-04 8.190524e+00
 4.541277e-04 7.906046e+00 1.411244e-01 1.419001e-01 8.047800e+00 2.026334e+07 4.620751e-04 8.177557e+00
 4.550213e-04 7.892147e+00 1.418162e-01 1.426044e-01 8.034600e+00 1.977096e+07 4.629970e-04 8.164692e+00
 4.559167e-04 7.878443e+00 1.425129e-01 1.433139e-01 8.021600e+00 1.929067e+07 4.639208e-04 8.152031e+00
 4.568138e-04 7.864833e+00 1.432147e-01 1.440285e-01 8.008700e+00 1.882218e+07 4.648465e-04 8.139472e+00
 4.577127e-04 7.851419e+00 1.439214e-01 1.447483e-01 7.996000e+00 1.836558e+07 4.657741e-04 8.127116e+00
 4.586133e-04 7.838100e+00 1.446332e-01 1.454733e-01 7.983400e+00 1.792000e+07 4.667036e-04 8.114862e+00
 4.595157e-04 7.824975e+00 1.453500e-01 1.462035e-01 7.971000e+00 1.748553e+07 4.676351e-04 8.102812e+00
 4.604199e-04 7.811945e+00 1.460718e-01 1.469389e-01 7.958700e+00 1.706153e+07 4.685684e-04 8.090863e+00
 4.613259e-04 7.799011e+00 1.467987e-01 1.476795e-01 7.946500e+00 1.664810e+07 4.695037e-04 8.079017e+00
 4.622337e-04 7.786271e+00 1.475306e-01 1.484255e-01 7.934500e+00 1.624499e+07 4.704410e-04 8.067374e+00
 4.631432e-04 7.773725e+00 1.482677e-01 1.491767e-01 7.922700e+00 1.585174e+07 4.713801e-04 8.055936e+00
 4.640545e-04 7.761275e+00 1.490098e-01 1.499332e-01 7.911000e+00 1.546812e+07 4.723212e-04 8.044599e+00
