# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_mpa1.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 4.018215e-04 8.443977e+00 1.291293e-01 1.296853e-01 8.573600e+00 3.746537e+07 4.084583e-04 8.697468e+00
 4.026278e-04 8.426874e+00 1.297270e-01 1.302923e-01 8.557100e+00 3.655426e+07 4.092880e-04 8.681254e+00
 4.034357e-04 8.409866e+00 1.303294e-01 1.309041e-01 8.540700e+00 3.566524e+07 4.101194e-04 8.665142e+00
 4.042452e-04 8.393153e+00 1.309363e-01 1.315205e-01 8.524600e+00 3.479858e+07 4.109525e-04 8.649334e+00
 4.050564e-04 8.376536e+00 1.315478e-01 1.321417e-01 8.508600e+00 3.395319e+07 4.117874e-04 8.633628e+00
 4.058692e-04 8.360014e+00 1.321640e-01 1.327677e-01 8.492700e+00 3.312855e+07 4.126241e-04 8.618023e+00
 4.066836e-04 8.343787e+00 1.327848e-01 1.333985e-01 8.477100e+00 3.232414e+07 4.134625e-04 8.602723e+00
 4.074996e-04 8.327655e+00 1.334103e-01 1.340340e-01 8.461600e+00 3.153996e+07 4.143026e-04 8.587524e+00
 4.083173e-04 8.311719e+00 1.340404e-01 1.346744e-01 8.446300e+00 3.077476e+07 4.151445e-04 8.572529e+00
 4.091366e-04 8.295878e+00 1.346752e-01 1.353196e-01 8.431100e+00 3.002856e+07 4.159882e-04 8.557635e+00
 4.099576e-04 8.280232e+00 1.353147e-01 1.359696e-01 8.416100e+00 2.930040e+07 4.168336e-04 8.542944e+00
 4.107802e-04 8.264682e+00 1.359590e-01 1.366245e-01 8.401200e+00 2.859056e+07 4.176808e-04 8.528354e+00
 4.116045e-04 8.249326e+00 1.366079e-01 1.372843e-01 8.386500e+00 2.789811e+07 4.185298e-04 8.513968e+00
 4.124304e-04 8.234166e+00 1.372617e-01 1.379490e-01 8.372000e+00 2.722261e+07 4.193805e-04 8.499785e+00
 4.132580e-04 8.219101e+00 1.379201e-01 1.386186e-01 8.357600e+00 2.656411e+07 4.202330e-04 8.485703e+00
 4.140872e-04 8.204231e+00 1.385834e-01 1.392931e-01 8.343400e+00 2.592149e+07 4.210874e-04 8.471825e+00
 4.149181e-04 8.189557e+00 1.392514e-01 1.399726e-01 8.329400e+00 2.529481e+07 4.219435e-04 8.458151e+00
 4.157507e-04 8.174977e+00 1.399243e-01 1.406570e-01 8.315500e+00 2.468321e+07 4.228014e-04 8.444577e+00
 4.165849e-04 8.160492e+00 1.406020e-01 1.413465e-01 8.301700e+00 2.408702e+07 4.236611e-04 8.431106e+00
