# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_ms1.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 2.954114e-04 8.871627e+00 2.198116e-01 2.220078e-01 9.092800e+00 7.676882e+06 3.003600e-04 9.261070e+00
 2.960450e-04 8.865565e+00 2.209583e-01 2.231834e-01 9.087900e+00 7.501264e+06 3.010150e-04 9.256751e+00
 2.966800e-04 8.859496e+00 2.221115e-01 2.243658e-01 9.083000e+00 7.329405e+06 3.016715e-04 9.252433e+00
 2.973164e-04 8.853621e+00 2.232710e-01 2.255548e-01 9.078300e+00 7.161753e+06 3.023295e-04 9.248322e+00
 2.979541e-04 8.847740e+00 2.244369e-01 2.267506e-01 9.073600e+00 6.997944e+06 3.029889e-04 9.244212e+00
 2.985932e-04 8.841952e+00 2.256092e-01 2.279532e-01 9.069000e+00 6.837888e+06 3.036498e-04 9.240206e+00
 2.992336e-04 8.836257e+00 2.267880e-01 2.291625e-01 9.064500e+00 6.681751e+06 3.043123e-04 9.236303e+00
 2.998754e-04 8.830655e+00 2.279732e-01 2.303787e-01 9.060100e+00 6.528940e+06 3.049762e-04 9.232505e+00
 3.005186e-04 8.825047e+00 2.291650e-01 2.316017e-01 9.055700e+00 6.379750e+06 3.056417e-04 9.228708e+00
 3.011632e-04 8.819633e+00 2.303632e-01 2.328316e-01 9.051500e+00 6.234093e+06 3.063086e-04 9.225118e+00
 3.018092e-04 8.814211e+00 2.315680e-01 2.340684e-01 9.047300e+00 6.091650e+06 3.069771e-04 9.221529e+00
 3.024565e-04 8.808883e+00 2.327794e-01 2.353122e-01 9.043200e+00 5.952581e+06 3.076470e-04 9.218044e+00
 3.031053e-04 8.803548e+00 2.339974e-01 2.365629e-01 9.039100e+00 5.816804e+06 3.083185e-04 9.214560e+00
 3.037554e-04 8.798406e+00 2.352220e-01 2.378206e-01 9.035200e+00 5.684130e+06 3.089915e-04 9.211283e+00
 3.044069e-04 8.793257e+00 2.364532e-01 2.390853e-01 9.031300e+00 5.554266e+06 3.096660e-04 9.208008e+00
 3.050599e-04 8.788202e+00 2.376911e-01 2.403571e-01 9.027500e+00 5.427586e+06 3.103421e-04 9.204837e+00
 3.057142e-04 8.783139e+00 2.389357e-01 2.416359e-01 9.023700e+00 5.304010e+06 3.110197e-04 9.201667e+00
 3.063699e-04 8.778270e+00 2.401870e-01 2.429219e-01 9.020100e+00 5.183044e+06 3.116988e-04 9.198705e+00
 3.070270e-04 8.773394e+00 2.414451e-01 2.442149e-01 9.016500e+00 5.064941e+06 3.123795e-04 9.195744e+00
 3.076856e-04 8.768611e+00 2.427099e-01 2.455152e-01 9.013000e+00 4.949633e+06 3.130617e-04 9.192887e+00
 3.083455e-04 8.763820e+00 2.439815e-01 2.468226e-01 9.009500e+00 4.836853e+06 3.137455e-04 9.190032e+00
 3.090069e-04 8.759223e+00 2.452599e-01 2.481373e-01 9.006200e+00 4.726741e+06 3.144308e-04 9.187384e+00
 3.096697e-04 8.754619e+00 2.465452e-01 2.494592e-01 9.002900e+00 4.619043e+06 3.151176e-04 9.184737e+00
 3.103339e-04 8.750008e+00 2.478373e-01 2.507883e-01 8.999600e+00 4.513987e+06 3.158060e-04 9.182093e+00
 3.109996e-04 8.745589e+00 2.491363e-01 2.521248e-01 8.996500e+00 4.411322e+06 3.164960e-04 9.179655e+00
 3.116666e-04 8.741164e+00 2.504423e-01 2.534687e-01 8.993400e+00 4.310993e+06 3.171876e-04 9.177219e+00
 3.123351e-04 8.736731e+00 2.517552e-01 2.548198e-01 8.990300e+00 4.212947e+06 3.178807e-04 9.174785e+00
 3.130050e-04 8.732491e+00 2.530750e-01 2.561784e-01 8.987400e+00 4.117132e+06 3.185754e-04 9.172559e+00
 3.136764e-04 8.728244e+00 2.544019e-01 2.575444e-01 8.984500e+00 4.023669e+06 3.192717e-04 9.170334e+00
 3.143492e-04 8.724090e+00 2.557358e-01 2.589179e-01 8.981700e+00 3.932159e+06 3.199696e-04 9.168214e+00
 3.150235e-04 8.719929e+00 2.570767e-01 2.602988e-01 8.978900e+00 3.842813e+06 3.206690e-04 9.166095e+00
 3.156991e-04 8.715860e+00 2.584247e-01 2.616873e-01 8.976200e+00 3.755579e+06 3.213701e-04 9.164082e+00
 3.163763e-04 8.711884e+00 2.597797e-01 2.630833e-01 8.973600e+00 3.670245e+06 3.220727e-04 9.162173e+00
 3.170549e-04 8.708000e+00 2.611420e-01 2.644869e-01 8.971100e+00 3.587007e+06 3.227769e-04 9.160369e+00
 3.177349e-04 8.704109e+00 2.625113e-01 2.658981e-01 8.968600e+00 3.505580e+06 3.234828e-04 9.158567e+00
 3.184164e-04 8.700211e+00 2.638878e-01 2.673169e-01 8.966100e+00 3.426077e+06 3.241902e-04 9.156766e+00
 3.190994e-04 8.696506e+00 2.652716e-01 2.687434e-01 8.963800e+00 3.348377e+06 3.248993e-04 9.155174e+00
 3.197839e-04 8.692792e+00 2.666625e-01 2.701776e-01 8.961500e+00 3.272439e+06 3.256100e-04 9.153584e+00
 3.204698e-04 8.689072e+00 2.680607e-01 2.716195e-01 8.959200e+00 3.198295e+06 3.263223e-04 9.151995e+00
 3.211571e-04 8.685444e+00 2.694662e-01 2.730692e-01 8.957000e+00 3.125759e+06 3.270362e-04 9.150512e+00
 3.218460e-04 8.681908e+00 2.708790e-01 2.745267e-01 8.954900e+00 3.055006e+06 3.277517e-04 9.149133e+00
 3.225363e-04 8.678465e+00 2.722991e-01 2.759919e-01 8.952900e+00 2.985786e+06 3.284689e-04 9.147860e+00
 3.232281e-04 8.675014e+00 2.737266e-01 2.774651e-01 8.950900e+00 2.918201e+06 3.291877e-04 9.146589e+00
