# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_ms1b.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 3.167740e-04 8.613681e+00 1.904664e-01 1.920648e-01 8.805200e+00 1.129801e+07 3.219625e-04 8.958442e+00
 3.174078e-04 8.605649e+00 1.914854e-01 1.931067e-01 8.798200e+00 1.103012e+07 3.226167e-04 8.951950e+00
 3.180428e-04 8.597612e+00 1.925107e-01 1.941552e-01 8.791200e+00 1.076879e+07 3.232723e-04 8.945459e+00
 3.186792e-04 8.589768e+00 1.935423e-01 1.952102e-01 8.784400e+00 1.051334e+07 3.239292e-04 8.939173e+00
 3.193168e-04 8.581917e+00 1.945801e-01 1.962718e-01 8.777600e+00 1.026432e+07 3.245876e-04 8.932888e+00
 3.199557e-04 8.574260e+00 1.956242e-01 1.973399e-01 8.771000e+00 1.002124e+07 3.252473e-04 8.926809e+00
 3.205958e-04 8.566697e+00 1.966747e-01 1.984147e-01 8.764500e+00 9.783943e+06 3.259085e-04 8.920833e+00
 3.212373e-04 8.559227e+00 1.977315e-01 1.994962e-01 8.758100e+00 9.552294e+06 3.265710e-04 8.914960e+00
 3.218800e-04 8.551750e+00 1.987946e-01 2.005843e-01 8.751700e+00 9.326480e+06 3.272349e-04 8.909087e+00
 3.225240e-04 8.544467e+00 1.998642e-01 2.016791e-01 8.745500e+00 9.105717e+06 3.279003e-04 8.903421e+00
 3.231693e-04 8.537277e+00 2.009402e-01 2.027807e-01 8.739400e+00 8.890359e+06 3.285670e-04 8.897857e+00
 3.238159e-04 8.530181e+00 2.020226e-01 2.038890e-01 8.733400e+00 8.680273e+06 3.292352e-04 8.892397e+00
 3.244638e-04 8.523178e+00 2.031115e-01 2.050041e-01 8.727500e+00 8.475025e+06 3.299047e-04 8.887041e+00
 3.251129e-04 8.516169e+00 2.042069e-01 2.061260e-01 8.721600e+00 8.274949e+06 3.305757e-04 8.881685e+00
 3.257634e-04 8.509353e+00 2.053089e-01 2.072548e-01 8.715900e+00 8.079475e+06 3.312481e-04 8.876535e+00
 3.264152e-04 8.502630e+00 2.064174e-01 2.083905e-01 8.710300e+00 7.888783e+06 3.319219e-04 8.871489e+00
 3.270683e-04 8.496000e+00 2.075324e-01 2.095331e-01 8.704800e+00 7.702613e+06 3.325971e-04 8.866546e+00
 3.277227e-04 8.489364e+00 2.086541e-01 2.106826e-01 8.699300e+00 7.520856e+06 3.332738e-04 8.861605e+00
 3.283784e-04 8.482921e+00 2.097824e-01 2.118391e-01 8.694000e+00 7.343407e+06 3.339519e-04 8.856869e+00
 3.290354e-04 8.476471e+00 2.109174e-01 2.130026e-01 8.688700e+00 7.170162e+06 3.346314e-04 8.852134e+00
 3.296937e-04 8.470214e+00 2.120590e-01 2.141731e-01 8.683600e+00 7.001153e+06 3.353124e-04 8.847606e+00
 3.303533e-04 8.463950e+00 2.132074e-01 2.153507e-01 8.678500e+00 6.836013e+06 3.359948e-04 8.843078e+00
 3.310143e-04 8.457879e+00 2.143624e-01 2.165353e-01 8.673600e+00 6.675040e+06 3.366786e-04 8.838757e+00
 3.316766e-04 8.451802e+00 2.155243e-01 2.177271e-01 8.668700e+00 6.517747e+06 3.373639e-04 8.834437e+00
 3.323402e-04 8.445817e+00 2.166929e-01 2.189260e-01 8.663900e+00 6.364299e+06 3.380507e-04 8.830221e+00
 3.330051e-04 8.439926e+00 2.178683e-01 2.201322e-01 8.659200e+00 6.214600e+06 3.387389e-04 8.826109e+00
 3.336714e-04 8.434127e+00 2.190506e-01 2.213455e-01 8.654600e+00 6.068196e+06 3.394286e-04 8.822100e+00
 3.343390e-04 8.428421e+00 2.202398e-01 2.225660e-01 8.650100e+00 5.925488e+06 3.401197e-04 8.818196e+00
 3.350079e-04 8.422709e+00 2.214358e-01 2.237939e-01 8.645600e+00 5.786149e+06 3.408123e-04 8.814292e+00
 3.356782e-04 8.417189e+00 2.226388e-01 2.250290e-01 8.641300e+00 5.650098e+06 3.415064e-04 8.810595e+00
 3.363498e-04 8.411662e+00 2.238487e-01 2.262715e-01 8.637000e+00 5.517258e+06 3.422019e-04 8.806900e+00
 3.370228e-04 8.406328e+00 2.250656e-01 2.275213e-01 8.632900e+00 5.387551e+06 3.428989e-04 8.803411e+00
 3.376971e-04 8.400987e+00 2.262895e-01 2.287785e-01 8.628800e+00 5.261120e+06 3.435974e-04 8.799924e+00
 3.383727e-04 8.395738e+00 2.275204e-01 2.300432e-01 8.624800e+00 5.137454e+06 3.442974e-04 8.796540e+00
 3.390497e-04 8.390482e+00 2.287584e-01 2.313153e-01 8.620800e+00 5.016807e+06 3.449989e-04 8.793158e+00
 3.397281e-04 8.385419e+00 2.300034e-01 2.325949e-01 8.617000e+00 4.899106e+06 3.457018e-04 8.789983e+00
 3.404078e-04 8.380349e+00 2.312556e-01 2.338820e-01 8.613200e+00 4.784074e+06 3.464063e-04 8.786810e+00
 3.410889e-04 8.375471e+00 2.325149e-01 2.351767e-01 8.609600e+00 4.671849e+06 3.471122e-04 8.783843e+00
 3.417713e-04 8.370586e+00 2.337814e-01 2.364790e-01 8.606000e+00 4.562364e+06 3.478197e-04 8.780878e+00
 3.424551e-04 8.365694e+00 2.350550e-01 2.377889e-01 8.602400e+00 4.455259e+06 3.485286e-04 8.777914e+00
 3.431403e-04 8.360994e+00 2.363359e-01 2.391064e-01 8.599000e+00 4.350864e+06 3.492391e-04 8.775158e+00
 3.438269e-04 8.356287e+00 2.376241e-01 2.404316e-01 8.595600e+00 4.248922e+06 3.499511e-04 8.772403e+00
 3.445148e-04 8.351672e+00 2.389195e-01 2.417646e-01 8.592300e+00 4.149375e+06 3.506646e-04 8.769752e+00
 3.452041e-04 8.347149e+00 2.402223e-01 2.431052e-01 8.589100e+00 4.052166e+06 3.513796e-04 8.767206e+00
 3.458947e-04 8.342720e+00 2.415323e-01 2.444537e-01 8.586000e+00 3.957240e+06 3.520961e-04 8.764764e+00
 3.465868e-04 8.338282e+00 2.428498e-01 2.458100e-01 8.582900e+00 3.864717e+06 3.528142e-04 8.762324e+00
 3.472802e-04 8.334037e+00 2.441746e-01 2.471741e-01 8.580000e+00 3.774278e+06 3.535338e-04 8.760092e+00
