# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_sly.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 3.946278e-04 8.469034e+00 1.371115e-01 1.377760e-01 8.606700e+00 3.135381e+07 4.012544e-04 8.734740e+00
 3.955360e-04 8.454023e+00 1.377164e-01 1.383908e-01 8.592300e+00 3.063732e+07 4.021894e-04 8.720640e+00
 3.964463e-04 8.439108e+00 1.383252e-01 1.390096e-01 8.578000e+00 2.993786e+07 4.031266e-04 8.706641e+00
 3.973587e-04 8.424389e+00 1.389379e-01 1.396325e-01 8.563900e+00 2.925406e+07 4.040660e-04 8.692846e+00
 3.982732e-04 8.409766e+00 1.395547e-01 1.402596e-01 8.549900e+00 2.858676e+07 4.050078e-04 8.679153e+00
 3.991898e-04 8.395239e+00 1.401754e-01 1.408908e-01 8.536000e+00 2.793437e+07 4.059517e-04 8.665561e+00
 4.001085e-04 8.380908e+00 1.408002e-01 1.415261e-01 8.522300e+00 2.729748e+07 4.068979e-04 8.652173e+00
 4.010293e-04 8.366673e+00 1.414290e-01 1.421656e-01 8.508700e+00 2.667527e+07 4.078464e-04 8.638886e+00
 4.019522e-04 8.352534e+00 1.420618e-01 1.428093e-01 8.495200e+00 2.606786e+07 4.087971e-04 8.625701e+00
 4.028773e-04 8.338591e+00 1.426986e-01 1.434571e-01 8.481900e+00 2.547396e+07 4.097501e-04 8.612719e+00
 4.038044e-04 8.324743e+00 1.433396e-01 1.441091e-01 8.468700e+00 2.489396e+07 4.107054e-04 8.599839e+00
 4.047338e-04 8.310992e+00 1.439845e-01 1.447654e-01 8.455600e+00 2.432774e+07 4.116630e-04 8.587061e+00
 4.056652e-04 8.297436e+00 1.446336e-01 1.454258e-01 8.442700e+00 2.377454e+07 4.126228e-04 8.574486e+00
 4.065988e-04 8.283976e+00 1.452867e-01 1.460905e-01 8.429900e+00 2.323383e+07 4.135850e-04 8.562013e+00
 4.075345e-04 8.270612e+00 1.459440e-01 1.467594e-01 8.417200e+00 2.270597e+07 4.145495e-04 8.549642e+00
 4.084724e-04 8.257344e+00 1.466053e-01 1.474326e-01 8.404600e+00 2.219001e+07 4.155162e-04 8.537372e+00
 4.094125e-04 8.244272e+00 1.472708e-01 1.481100e-01 8.392200e+00 2.168631e+07 4.164853e-04 8.525306e+00
 4.103547e-04 8.231295e+00 1.479404e-01 1.487918e-01 8.379900e+00 2.119396e+07 4.174567e-04 8.513342e+00
 4.112991e-04 8.218414e+00 1.486142e-01 1.494778e-01 8.367700e+00 2.071330e+07 4.184304e-04 8.501480e+00
 4.122457e-04 8.205729e+00 1.492921e-01 1.501682e-01 8.355700e+00 2.024365e+07 4.194065e-04 8.489822e+00
 4.131944e-04 8.193039e+00 1.499742e-01 1.508628e-01 8.343700e+00 1.978476e+07 4.203848e-04 8.478163e+00
 4.141453e-04 8.180546e+00 1.506605e-01 1.515619e-01 8.331900e+00 1.933637e+07 4.213656e-04 8.466709e+00
 4.150985e-04 8.168148e+00 1.513510e-01 1.522652e-01 8.320200e+00 1.889863e+07 4.223487e-04 8.455356e+00
 4.160538e-04 8.155846e+00 1.520456e-01 1.529730e-01 8.308600e+00 1.847071e+07 4.233341e-04 8.444105e+00
 4.170113e-04 8.143739e+00 1.527446e-01 1.536851e-01 8.297200e+00 1.805276e+07 4.243219e-04 8.433058e+00
 4.179710e-04 8.131628e+00 1.534477e-01 1.544016e-01 8.285800e+00 1.764416e+07 4.253120e-04 8.422012e+00
 4.189329e-04 8.119713e+00 1.541551e-01 1.551226e-01 8.274600e+00 1.724526e+07 4.263046e-04 8.411169e+00
 4.198970e-04 8.107894e+00 1.548668e-01 1.558479e-01 8.263500e+00 1.685547e+07 4.272995e-04 8.400428e+00
 4.208634e-04 8.096170e+00 1.555827e-01 1.565777e-01 8.252500e+00 1.647457e+07 4.282968e-04 8.389789e+00
